,Energy,Gradient,Iteration,Noise,Time
0,-126.69904743,18.6285512,0.0,0.00274,596.44
1,-128.51527065,3.15694745,1.0,0.00242,1706.59
2,-128.75268866,1.49792146,2.0,0.00117,2590.06
3,-128.88133362,0.43460815,3.0,0.00107,3618.24
4,-128.90014878,0.18099838,4.0,0.000751,4377.92
5,-128.90505553,0.07979212,5.0,0.000676,5117.42
6,-128.90654425,0.05079366,6.0,0.000992,5888.06
7,-128.90587036,0.0198061,7.0,0.000754,6531.47
8,-128.90596942,0.01992916,8.0,0.000688,7300.11
9,-128.90513471,0.036398,9.0,0.00108,8111.68
10,-128.90632388,0.03698494,10.0,0.000711,8819.98
11,-128.90584287,0.09226289,11.0,0.000684,9641.9
12,-128.90749587,0.06521555,12.0,0.000672,10299.63
13,-128.90592078,0.05337292,13.0,0.000686,10814.21
14,-128.9070818,0.02401484,14.0,0.000663,11512.29
15,-128.90734693,0.0615995,15.0,0.000771,12221.87
16,-128.9067639,0.05871123,16.0,0.000729,12930.29
17,-128.90577099,0.05499269,17.0,0.000875,13708.92
18,-128.90509392,0.06945839,18.0,0.000772,14539.28
19,-128.90771254,0.05266624,19.0,0.000726,15412.37
20,-128.90596029,0.05616219,20.0,0.000794,16099.97
21,-128.90752764,0.06176167,21.0,0.000666,16869.64
22,-128.90553898,0.04441848,22.0,0.000695,17705.29
23,-128.90713721,0.03325724,23.0,0.000688,18548.28
24,-128.90782088,0.06782389,24.0,0.000792,19140.78
25,-128.90622261,0.02170126,25.0,0.000817,19829.93
26,-128.90809632,0.02142932,26.0,0.000766,20602.33
27,-128.9066678,0.01680318,27.0,0.000676,21353.0
28,-128.90710959,0.03834843,28.0,0.000903,22172.83
29,-128.90702772,0.02381778,29.0,0.00071,22944.82
30,-128.90653538,0.05815323,30.0,0.000677,23621.47
31,-128.90676108,0.01829373,31.0,0.000768,24296.48
32,-128.90650743,0.06155791,32.0,0.000881,24982.99
33,-128.90756949,0.05426696,33.0,0.00069,25763.86
34,-128.90727415,0.07831158,34.0,0.000651,26586.42
35,-128.90840643,0.0364941,35.0,0.000647,27356.28
36,-128.90640759,0.02968324,36.0,0.000747,28054.91
37,-128.90722768,0.02338719,37.0,0.000936,28855.54
38,-128.90687111,0.02895053,38.0,0.000731,29708.26
39,-128.90654016,0.02773991,39.0,0.000676,30407.84
40,-128.90861919,0.0137915,40.0,0.000749,31252.17
41,-128.90614426,0.02025271,41.0,0.000744,31961.55
42,-128.90636834,0.01802647,42.0,0.000698,32782.27
43,-128.9084539,0.01803298,43.0,0.0007,33624.89
44,-128.90686875,0.02338924,44.0,0.000724,34435.39
45,-128.90797977,0.0213035,45.0,0.00123,35101.33
46,-128.90699461,0.01917666,46.0,0.000785,35749.4
47,-128.90815372,0.02027433,47.0,0.000716,36592.78
48,-128.90763539,0.02010607,48.0,0.000739,37186.74
49,-128.90676028,0.01557386,49.0,0.000936,37996.64
